y_ID,narrow_sense,bonferroni_5,perm_5,num_individuals,num_significant_pvalues
Y585,0.6959325731335786,2.1683507524177117e-06,7.224603408141849e-06,327,7
Y1292,4.5397870662530495e-05,2.1683507524177117e-06,1.441435837164877e-06,47,0
Y126,0.5455673872246015,2.1683507524177117e-06,9.340974524712248e-07,71,3
Y1276,4.5397870662530495e-05,2.1683507524177117e-06,2.9084158260665133e-08,47,0
Y561,0.3662573608488774,2.1683507524177117e-06,9.029940748232805e-14,327,0
Y615,0.7530952398586775,2.1683507524177117e-06,1.2311527894471205e-19,327,0
Y718,0.0487317232907166,2.1683507524177117e-06,3.908750965537876e-07,57,0
Y355,0.01890139311997,2.1683507524177117e-06,1.2534095105603376e-06,34,0
Y559,0.8410910188522372,2.1683507524177117e-06,3.903822911449406e-06,327,8
Y553,0.7944876997673939,2.1683507524177117e-06,3.6180084938251695e-06,327,10
Y524,4.5397870662530495e-05,2.1683507524177117e-06,2.24515837971514e-06,337,0
Y114,0.0330710696418427,2.1683507524177117e-06,5.649704026074643e-06,66,0
Y627,0.8429219102113509,2.1683507524177117e-06,5.420754939634971e-06,327,5
Y93,4.5397870662530495e-05,2.1683507524177117e-06,2.0784636968457346e-06,27,0
Y383,4.53978706625305e-05,2.1683507524177117e-06,1.4005288163190372e-06,35,0
Y77,4.5397870662530495e-05,2.1683507524177117e-06,1.4032071936500176e-06,27,0
Y99,4.5397870662530495e-05,2.1683507524177117e-06,2.139713000239417e-09,55,0
